"","Assemblage","t","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"171","BRUV",71,"Extrapolation",0,39.464230054885,27.620130354047,51.308329755723,0.99766295041569,0.980667435128071,1
"172","BRUV",72,"Extrapolation",0,39.4789397199157,27.5550265377551,51.4028529020762,0.997821779028216,0.981196681651814,1
"173","BRUV",73,"Extrapolation",0,39.4926496989734,27.490680290005,51.4946191079417,0.997969813463191,0.981705593966929,1
"174","BRUV",74,"Extrapolation",0,39.5054279318815,27.4271186900384,51.5837371737246,0.998107787305499,0.982195189324984,1
"175","BRUV",75,"Extrapolation",0,39.517337741194,27.3643649783214,51.6703105040665,0.998236384284737,0.982666427300632,1
"176","BRUV",76,"Extrapolation",0,39.52843814599,27.3024388874298,51.7544374045503,0.998356241663444,0.983120213157393,1
"177","BRUV",77,"Extrapolation",0,39.5387841543437,27.2413569466019,51.8362113620854,0.998467953395054,0.983557401025195,1
"178","BRUV",78,"Extrapolation",0,39.548427035916,27.1811327620596,51.9157213097723,0.998572073067235,0.983978796898587,1
"179","BRUV",79,"Extrapolation",0,39.5574145760222,27.1217772750241,51.9930518770203,0.99866911664519,0.984385161464396,1
"180","BRUV",80,"Extrapolation",0,39.5657913124319,27.0632989991944,52.0682836256693,0.998759565028527,0.984777212767347,1
"181","BRUV",81,"Extrapolation",0,39.5735987560758,27.0057042393129,52.1414932728388,0.998843866434355,0.985155628721927,1
"182","BRUV",82,"Extrapolation",0,39.5808755967537,26.9489972923077,52.2127539011997,0.998922438618428,0.985521049478506,1
"183","BRUV",83,"Extrapolation",0,39.5876578948613,26.8931806323829,52.2821351573397,0.998995670945331,0.985874079651426,1
"184","BRUV",84,"Extrapolation",0,39.5939792600877,26.8382550813154,52.3497034388601,0.999063926317978,0.986215290416496,1
"185","BRUV",85,"Extrapolation",0,39.5998710179687,26.784219965117,52.4155220708204,0.99912754297598,0.986545221484995,1
"186","BRUV",86,"Extrapolation",0,39.6053623651199,26.731073258127,52.4796514721128,0.999186836171787,0.986864382961015,1
"187","BRUV",87,"Extrapolation",0,39.610480513921,26.6788117155157,52.5421493123262,0.999242099732928,0.987173257088634,1
