New_name	Location	Site	Bio_rep	Tech_rep	Sample_date	eDNA_label	Extraction_date	Volume	Sample_Control	Technical_rep	Control_Type	K
LHC_3	Santa_Catalina_Island	Little_Harbor	C	3	10/19/18	LHC	11/27/18	1100	Sample	LHC_3	NA	3
LTGO.eDNA.1.2.A_1	Gold_mpawatch	LTGO_1.2	A	1	NA	LTGO_1.2.A	NA	500	Sample	LTGO_eDNA_1.2.A_1	NA	3
LTGO.eDNA.1.2.A_2	Gold_mpawatch	LTGO_1.2	A	2	NA	LTGO_1.2.A	NA	500	Sample	LTGO_eDNA_1.2.A_2	NA	3
LTGO.eDNA.1.2.A_3	Gold_mpawatch	LTGO_1.2	A	3	NA	LTGO_1.2.A	NA	500	Sample	LTGO_eDNA_1.2.A_3	NA	3
LTGO.eDNA.1.2.B_1	Gold_mpawatch	LTGO_1.2	B	1	NA	LTGO_1.2.B	NA	500	Sample	LTGO_eDNA_1.2.B_1	NA	3
LTGO.eDNA.1.2.B_2	Gold_mpawatch	LTGO_1.2	B	2	NA	LTGO_1.2.B	NA	500	Sample	LTGO_eDNA_1.2.B_2	NA	3
LTGO.eDNA.1.2.B_3	Gold_mpawatch	LTGO_1.2	B	3	NA	LTGO_1.2.B	NA	500	Sample	LTGO_eDNA_1.2.B_3	NA	3
LTGO.eDNA.1.2.C_1	Gold_mpawatch	LTGO_1.2	C	1	NA	LTGO_1.2.C	NA	500	Sample	LTGO_eDNA_1.2.C_1	NA	3
LTGO.eDNA.1.2.C_2	Gold_mpawatch	LTGO_1.2	C	2	NA	LTGO_1.2.C	NA	500	Sample	LTGO_eDNA_1.2.C_2	NA	3
LTGO.eDNA.1.2.C_3	Gold_mpawatch	LTGO_1.2	C	3	NA	LTGO_1.2.C	NA	500	Sample	LTGO_eDNA_1.2.C_3	NA	3
LTGO.eDNA.5.A_1	Gold_mpawatch	LTGO_5	A	1	NA	LTGO_5.A	NA	500	Sample	LTGO_eDNA_5.A_1	NA	3
LTGO.eDNA.5.A_2	Gold_mpawatch	LTGO_5	A	2	NA	LTGO_5.A	NA	500	Sample	LTGO_eDNA_5.A_2	NA	3
LTGO.eDNA.5.A_3	Gold_mpawatch	LTGO_5	A	3	NA	LTGO_5.A	NA	500	Sample	LTGO_eDNA_5.A_3	NA	3
LTGO.eDNA.5.B_1	Gold_mpawatch	LTGO_5	B	1	NA	LTGO_5.B	NA	500	Sample	LTGO_eDNA_5.B_1	NA	3
LTGO.eDNA.5.B_2	Gold_mpawatch	LTGO_5	B	2	NA	LTGO_5.B	NA	500	Sample	LTGO_eDNA_5.B_2	NA	3
LTGO.eDNA.5.B_3	Gold_mpawatch	LTGO_5	B	3	NA	LTGO_5.B	NA	500	Sample	LTGO_eDNA_5.B_3	NA	3
LTGO.eDNA.5.C_1	Gold_mpawatch	LTGO_5	C	1	NA	LTGO_5.C	NA	500	Sample	LTGO_eDNA_5.C_1	NA	3
LTGO.eDNA.5.C_2	Gold_mpawatch	LTGO_5	C	2	NA	LTGO_5.C	NA	500	Sample	LTGO_eDNA_5.C_2	NA	3
LTGO.eDNA.5.C_3	Gold_mpawatch	LTGO_5	C	3	NA	LTGO_5.C	NA	500	Sample	LTGO_eDNA_5.C_3	NA	3
LTGP.A_1	Gold_mpawatch	LTGP	A	1	NA	LTGP.A	NA	500	Sample	LTGP.A_1	NA	3
LTGP.A_2	Gold_mpawatch	LTGP	A	2	NA	LTGP.A	NA	500	Sample	LTGP.A_2	NA	3
LTGP.A_3	Gold_mpawatch	LTGP	A	3	NA	LTGP.A	NA	500	Sample	LTGP.A_3	NA	3
LTGP.B_1	Gold_mpawatch	LTGP	B	1	NA	LTGP.B	NA	500	Sample	LTGP.B_1	NA	3
LTGP.B_2	Gold_mpawatch	LTGP	B	2	NA	LTGP.B	NA	500	Sample	LTGP.B_2	NA	3
LTGP.B_3	Gold_mpawatch	LTGP	B	3	NA	LTGP.B	NA	500	Sample	LTGP.B_3	NA	3
LTGP.C_1	Gold_mpawatch	LTGP	C	1	NA	LTGP.C	NA	500	Sample	LTGP.C_1	NA	3
LTGP.C_2	Gold_mpawatch	LTGP	C	2	NA	LTGP.C	NA	500	Sample	LTGP.C_2	NA	3
LTGP.C_3	Gold_mpawatch	LTGP	C	3	NA	LTGP.C	NA	500	Sample	LTGP.C_3	NA	3
PIDB.A_1	Gold_mpawatch	PIDB	A	1	NA	PIDB.A	NA	500	Sample	PIDB.A_1	NA	3
PIDB.A_2	Gold_mpawatch	PIDB	A	2	NA	PIDB.A	NA	500	Sample	PIDB.A_2	NA	3
PIDB.A_3	Gold_mpawatch	PIDB	A	3	NA	PIDB.A	NA	500	Sample	PIDB.A_3	NA	3
PIDB.B_1	Gold_mpawatch	PIDB	B	1	NA	PIDB.B	NA	500	Sample	PIDB.B_1	NA	3
PIDB.B_2	Gold_mpawatch	PIDB	B	2	NA	PIDB.B	NA	500	Sample	PIDB.B_2	NA	3
PIDB.B_3	Gold_mpawatch	PIDB	B	3	NA	PIDB.B	NA	500	Sample	PIDB.B_3	NA	3
PIDB.C_1	Gold_mpawatch	PIDB	C	1	NA	PIDB.C	NA	500	Sample	PIDB.C_1	NA	3
PIDB.C_2	Gold_mpawatch	PIDB	C	2	NA	PIDB.C	NA	500	Sample	PIDB.C_2	NA	3
PIDB.C_3	Gold_mpawatch	PIDB	C	3	NA	PIDB.C	NA	500	Sample	PIDB.C_3	NA	3
PTDS.A_1	Gold_mpawatch	PTDS	A	1	NA	PTDS.A	NA	500	Sample	PTDS.A_1	NA	3
PTDS.A_2	Gold_mpawatch	PTDS	A	2	NA	PTDS.A	NA	500	Sample	PTDS.A_2	NA	3
PTDS.A_3	Gold_mpawatch	PTDS	A	3	NA	PTDS.A	NA	500	Sample	PTDS.A_3	NA	3
PTDS.B_1	Gold_mpawatch	PTDS	B	1	NA	PTDS.B	NA	500	Sample	PTDS.B_1	NA	3
PTDS.B_2	Gold_mpawatch	PTDS	B	2	NA	PTDS.B	NA	500	Sample	PTDS.B_2	NA	3
PTDS.B_3	Gold_mpawatch	PTDS	B	3	NA	PTDS.B	NA	500	Sample	PTDS.B_3	NA	3
PTDS.C_1	Gold_mpawatch	PTDS	C	1	NA	PTDS.C	NA	500	Sample	PTDS.C_1	NA	3
PTDS.C_2	Gold_mpawatch	PTDS	C	2	NA	PTDS.C	NA	500	Sample	PTDS.C_2	NA	3
PTDS.C_3	Gold_mpawatch	PTDS	C	3	NA	PTDS.C	NA	500	Sample	PTDS.C_3	NA	3
RBA_1	Mainland	R_Beach	A	1	10/10/18	RBA	11/27/18	1200	Sample	RBA_1	NA	3
RBA_2	Mainland	R_Beach	A	2	10/10/18	RBA	11/27/18	1200	Sample	RBA_2	NA	3
RBA_3	Mainland	R_Beach	A	3	10/10/18	RBA	11/27/18	1200	Sample	RBA_3	NA	3
RBB_1	Mainland	R_Beach	B	1	10/10/18	RBB	11/27/18	1200	Sample	RBB_1	NA	3
RBB_2	Mainland	R_Beach	B	2	10/10/18	RBB	11/27/18	1200	Sample	RBB_2	NA	3
RBB_3	Mainland	R_Beach	B	3	10/10/18	RBB	11/27/18	1200	Sample	RBB_3	NA	3
RBC_1	Mainland	R_Beach	C	1	10/10/18	RBC	11/27/18	1200	Sample	RBC_1	NA	3
RBC_2	Mainland	R_Beach	C	2	10/10/18	RBC	11/27/18	1200	Sample	RBC_2	NA	3
RBC_3	Mainland	R_Beach	C	3	10/10/18	RBC	11/27/18	1200	Sample	RBC_3	NA	3
SAA_1	Santa_Rosa_Island	Southeast_Anchorage	A	1	9/13/18	SAA	9/27/18	1200	Sample	SAA_1	NA	3
SAA_2	Santa_Rosa_Island	Southeast_Anchorage	A	2	9/13/18	SAA	9/27/18	1200	Sample	SAA_2	NA	3
SAA_3	Santa_Rosa_Island	Southeast_Anchorage	A	3	9/13/18	SAA	9/27/18	1200	Sample	SAA_3	NA	3
SAB_1	Santa_Rosa_Island	Southeast_Anchorage	B	1	9/13/18	SAB	9/27/18	1250	Sample	SAB_1	NA	3
SAB_2	Santa_Rosa_Island	Southeast_Anchorage	B	2	9/13/18	SAB	9/27/18	1250	Sample	SAB_2	NA	3
SAB_3	Santa_Rosa_Island	Southeast_Anchorage	B	3	9/13/18	SAB	9/27/18	1250	Sample	SAB_3	NA	3
SAC_1	Santa_Rosa_Island	Southeast_Anchorage	C	1	9/13/18	SAC	9/27/18	1200	Sample	SAC_1	NA	3
SAC_2	Santa_Rosa_Island	Southeast_Anchorage	C	2	9/13/18	SAC	9/27/18	1200	Sample	SAC_2	NA	3
SAC_3	Santa_Rosa_Island	Southeast_Anchorage	C	3	9/13/18	SAC	9/27/18	1200	Sample	SAC_3	NA	3
